stamp;cout;dig
+RIS;1;dig11
+CVFM;1;dig10
ILF.;1;dig4
MF.A+;1;dig5
+CVFN;1;dig11
CISVII;1;dig11
N+;1;dig6
.VGGGNNN.IGV.BAR+;1;dig11
FCVC+;1;dig5
+VFS;2;dig5
FIGME+;1;dig10
QF+;1;dig8
LFC;1;dig5
+IG+PPAE.;1;dig5
LFT;2;dig4
+CCVC+;1;dig5
LIDFITALICAE;1;dig12
LIDFITALICAE;2;dig1
+MHP.;1;dig8
+VCA.;1;dig4
QMR;1;dig11
+ROCLIN+;1;dig7
GMMF;1;dig7
GMMF;1;dig3
.I+P.A+;1;dig5
+ICIANI;1;dig4
LFCCVF+;1;dig5
CN+;1;dig8
FMFP;2;dig5
FIGMED;11;dig4
NICXI;1;dig11
CAS;4;dig4
CAS;2;dig5
CAP;21;dig4
CAP;2;dig5
CAP;1;dig11
AVGGG;2;dig11
CAI;1;dig1
LFFE.;1;dig5
EVTYCH;1;dig11
QAR.;1;dig12
LFCC+;1;dig11
IIIENNIIV+;1;dig9
ACIRG.;1;dig11
+NO+;1;dig8
Q+;1;dig9
+AEAD;1;dig8
CMLIC;1;dig12
+VSA+;1;dig8
EIPN.;1;dig4
PIRPOR;1;dig2
FCERAR+;1;dig5
PCAGCAP;1;dig8
CALLI.;1;dig5
VIC;1;dig10
CTPOM;1;dig8
FSFB;2;dig5
.IRGIN;1;dig9
FIGLINATREBECIANO;2;dig11
AELFO;1;dig8
+ILVCIXII+;1;dig5
+NIM+ISSI;1;dig4
D+;1;dig5
SEPT;1;dig11
PNN+;2;dig4
PNN+;1;dig11
LM+;1;dig7
SECVND;1;dig7
SECVND;1;dig10
SECVND;2;dig11
L;1;dig10
.FCSENTI;1;dig4
QCCC.;1;dig8
VIRG;3;dig6
VIRG;2;dig7
VIRG;6;dig8
VIRG;3;dig3
.AXOFER;1;dig8
MATDEFIGLINASMARSIA;2;dig5
SVBVLC.;1;dig5
LFCCVFSCAT;1;dig5
FIG+D;1;dig4
LF+;1;dig5
LF+;1;dig11
+CO.;1;dig10
DOM.;1;dig12
LFCCVFSCAL;1;dig5
+S+;1;dig11
ROD+;1;dig10
SAXOFER;2;dig8
Q+;3;dig8
VICTO.;1;dig11
+P+;1;dig9
FMFP;1;dig5
.CRV;1;dig4
NI+;1;dig10
+CEP;1;dig4
CAR.I;1;dig10
PN.;1;dig11
.HRYXXI;1;dig9
+NIMELISSIETMELISSE;1;dig5
FPAT+;2;dig11
CII+;1;dig10
+VIRG+;1;dig9
LAG.;1;dig11
CIALBF;1;dig6
+CI+R+;1;dig10
DITR;1;dig11
.NN;1;dig11
+FCCVFC+;1;dig4
+M.;1;dig11
+XOFER;1;dig10
AVGG+FIGVLCEPA;1;dig11
+CA+;1;dig4
F+;1;dig9
QFN;1;dig2
+II+;1;dig11
+FL;1;dig5
QFG;1;dig6
QFG;1;dig11
QFC;6;dig6
QFC;2;dig8
QFC;5;dig2
QFC;2;dig10
PNN;1;dig11
+C+;1;dig8
CIALB;1;dig6
CIALB;1;dig2
.AL+;1;dig12
.QA;1;dig11
Q+;1;dig12
ASVLEANOLL;2;dig2
+CCVFS;3;dig5
PRISCI;1;dig2
+MI;1;dig5
.SACXIII.;1;dig11
ENNIIVL;1;dig9
MAEMETPI;1;dig10
P+;2;dig4
P+;1;dig5
AVG+FI+;1;dig11
LIDFITALICAE;1;dig8
+RVS;1;dig11
+S;1;dig11
QI+;1;dig11
CAEIFB;3;dig1
.IT;1;dig5
FMFP;1;dig5
PR+VII+;1;dig4
LSPBOEQ;1;dig10
MLM+;1;dig9
ISCALIF;1;dig3
FCEPA;1;dig11
+FDCVN;1;dig10
LFMF;1;dig7
+M;1;dig9
MA+SI+;1;dig11
CALL+;1;dig11
PVALTEFA;1;dig7
PVALTEFA;1;dig3
+N.;1;dig4
+CSENTI;2;dig4
FM+;3;dig5
FCCV+;1;dig5
+SI;1;dig4
LFCCVFSCV;1;dig5
QIF.;1;dig6
CAS+;1;dig11
SECVN.;1;dig6
EQFA;5;dig12
+S;1;dig5
+QCCAE;1;dig11
+NF;1;dig4
AVGGGNNNCOLEARIFGR.;1;dig11
CCVS;1;dig11
+RICI;1;dig5
IINPETT+FIGMAC+;1;dig11
+FERRE.;1;dig5
+MXIEM+;1;dig11
LFCCVII+;1;dig11
+AT;1;dig4
+VC+;1;dig4
LIDFI;1;dig10
+AE;1;dig11
CTYC;1;dig9
F+;1;dig5
MFF;1;dig8
MFK;1;dig10
MFK;1;dig11
+E+EF;1;dig5
MEDIANAE;1;dig7
MFR;1;dig8
MFS;1;dig5
MFS;2;dig8
MFS;2;dig12
MFS;1;dig3
GEM;1;dig7
.ROTIS;1;dig5
+MR;1;dig12
IIIMINICIOR;1;dig11
+FR+A+;1;dig5
FVNBE.RPI;1;dig12
BVRB;1;dig11
.NNP;1;dig11
ICSA+F.;1;dig12
FLORI;1;dig4
+PAEF;1;dig5
FCEPA+;1;dig11
IIMVSAPS;1;dig2
HER;1;dig11
GENETI.;1;dig5
LFCSENTI;2;dig4
LFCSENTI;1;dig5
XMB;1;dig11
N;1;dig8
+CAT;1;dig4
IIIVNI+;1;dig6
SAXFERFTV;2;dig8
LCALIS+;1;dig8
NAT+;1;dig10
PMPS;1;dig2
+GED.PAEF;1;dig11
+MAEL.PA+;1;dig11
VLA+;3;dig11
.NN;1;dig11
+CV+DO;1;dig4
APS.;1;dig5
PALL+;1;dig11
CN+;1;dig9
QIM+;1;dig12
RESTVTI+;1;dig5
POPVL.;2;dig4
CORBE.;1;dig11
+ECA+;1;dig6
MILONF;1;dig5
MILONF;2;dig7
MILONF;6;dig3
LIVNIMELISSI;1;dig4
FC+;1;dig3
IIV+;1;dig10
ACIRGIF;2;dig11
LFCRDEP;1;dig11
LVN;1;dig4
PMOCVF;1;dig4
QNDPHI;1;dig8
QNDPHI;1;dig12
QNDPHI;1;dig10
+IS;1;dig8
IIIMIN.CIOR;1;dig11
IIIVNMELISSI+;1;dig5
+P;1;dig10
+P+;1;dig4
